412,ダッシュボード表示画面,店舗ラベル別サマリー,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗ラベル別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 店舗ラベル別サマリー.営業利益,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
413,ダッシュボード表示画面,店舗ラベル別サマリー,売上（税抜）,L0,S,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded) GROUP BY shop_label,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.売上(税抜),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]ZTOTAL）。
414,ダッシュボード表示画面,店舗ラベル別サマリー,売上進捗率,L4a,B,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗ラベル別サマリー.売上（税抜）) ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",店舗ラベル別サマリー.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上進捗率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予算設定, 店舗ラベル別サマリー）。"
415,ダッシュボード表示画面,店舗ラベル別サマリー,FD仕入率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗ラベル別サマリー.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.FD仕入率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
416,ダッシュボード表示画面,店舗ラベル別サマリー,人件費率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗ラベル別サマリー.売上（税抜）",-,head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.人件費率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
417,ダッシュボード表示画面,店舗別サマリー,売上目標,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定.売上（税抜）を参照表示,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,月次予算設定.売上（税抜）,"店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率",monthly_budgets.profit → 店舗別サマリー.売上目標,スキーマ検証済,-,売上目標がSUM(売上)なのは誤り？,予算マスタから取得すべきか確認必要,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
418,ダッシュボード表示画面,店舗別サマリー,売上達成率,L4a,A,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",店舗別サマリー.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上達成率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 店舗別サマリー, 予算設定）。"
419,ダッシュボード表示画面,店舗別サマリー,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 店舗別サマリー.営業利益,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
420,ダッシュボード表示画面,店舗別サマリー,売上（税抜）,L0,S,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded) GROUP BY shop_id,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.売上(税抜),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]ZTOTAL）。
421,ダッシュボード表示画面,店舗別サマリー,売上進捗率,L4a,B,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗別サマリー.売上（税抜）) ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上進捗率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 店舗別サマリー）。
422,ダッシュボード表示画面,店舗別サマリー,FD仕入率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗別サマリー.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗別サマリー.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.FD仕入率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
423,ダッシュボード表示画面,店舗別サマリー,人件費率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗別サマリー.売上（税抜） × 100,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗別サマリー.売上（税抜）",-,head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.人件費率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
